question,answer,category,keywords,official_link
How can I apply for a new Aadhaar card?,"Visit your nearest Aadhaar Enrollment Centre with proof of identity and address, fill the enrollment form, and provide biometrics.",Aadhaar,"apply, new, Aadhaar, enrollment",
How do I update my Aadhaar address online?,"Log in to the UIDAI Self Service Update Portal using your Aadhaar number and OTP, then submit valid address proof.",Aadhaar,"update, address, online, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
What documents are required for Aadhaar enrolment?,"You need proof of identity, proof of address, proof of relationship (if applicable), and date of birth document.",Aadhaar,"documents, requirement, Aadhaar, enrolment",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Do I need to bring original documents for Aadhaar enrolment?,"Yes, original documents are required. They will be scanned and returned after enrolment.",Aadhaar,"original, documents, Aadhaar, enrolment",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Is Aadhaar enrolment free?,"Yes, Aadhaar enrolment is completely free of cost.",Aadhaar,"free, Aadhaar, enrolment",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Can I update my mobile number in Aadhaar online?,"Yes, you can update your mobile number via the UIDAI Self Service Update Portal with OTP verification.",Aadhaar,"update, mobile, Aadhaar, online",
How can I check my Aadhaar status?,"Visit UIDAI website, go to 'Check Aadhaar Status', enter EID or Aadhaar number to view status.",Aadhaar,"check, status, Aadhaar",https://myaadhaar.uidai.gov.in/CheckAadhaarStatus
Can I download e-Aadhaar online?,"Yes, you can download your e-Aadhaar PDF from UIDAI website using your Aadhaar number or VID.",Aadhaar,"download, e-Aadhaar, online",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
What should I do if my Aadhaar details are incorrect?,You can update incorrect details via the UIDAI Self Service Update Portal or by visiting an enrolment centre.,Aadhaar,"incorrect, update, Aadhaar",
Can I get Aadhaar enrolled for a newborn?,"Yes, even a newborn can be enrolled for Aadhaar, with a parent or guardian providing documents.",Aadhaar,"newborn, enrolment, Aadhaar",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
How do I correct my Aadhaar name spelling?,Use the UIDAI update portal to correct the name spelling online or visit an enrolment centre.,Aadhaar,"correct, name, Aadhaar",
Can I update my Aadhaar date of birth online?,"Yes, upload valid proof of date of birth via UIDAI Self Service Update Portal.",Aadhaar,"update, date of birth, Aadhaar, online",
How can I locate the nearest Aadhaar enrolment centre?,"Use the UIDAI locator tool to find the nearest enrolment centre by entering your state, district, and locality.",Aadhaar,"locate, enrolment centre, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Is it mandatory to provide mobile number during Aadhaar enrolment?,"No, providing mobile number is optional but recommended for updates.",Aadhaar,"mandatory, mobile, Aadhaar, enrolment",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Can I enrol for Aadhaar if I have lost a finger?,"Yes, Aadhaar enrolment software can handle missing fingerprints or iris scans.",Aadhaar,"enrolment, missing fingerprint, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
How long does it take to receive Aadhaar after enrolment?,It typically takes up to 90 days to receive your Aadhaar letter after enrolment.,Aadhaar,"time, receive, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Can I update my Aadhaar address via post?,"No, you need to either update online via portal or visit an enrolment centre.",Aadhaar,"update, address, post, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
What is e-KYC using Aadhaar?,e-KYC allows online verification of identity using Aadhaar number and OTP without physical documents.,Aadhaar,"e-KYC, Aadhaar, verification",
How do I lock my Aadhaar number?,Use the UIDAI portal to lock/unlock your Aadhaar for authentication purposes.,Aadhaar,"lock, Aadhaar, security",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
Can I link Aadhaar to PAN online?,"Yes, you can link Aadhaar to PAN via the Income Tax e-filing portal.",Aadhaar,"link, PAN, Aadhaar",
Can I update my photo in Aadhaar?,"Yes, you can update your photograph by visiting an enrolment centre.",Aadhaar,"update, photo, Aadhaar",
Can I change my Aadhaar gender online?,"Yes, upload valid supporting documents to update gender through UIDAI portal.",Aadhaar,"change, gender, Aadhaar",
Can I update my email ID in Aadhaar?,"Yes, update your email ID via UIDAI portal or enrolment centre with OTP verification.",Aadhaar,"update, email, Aadhaar",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
What is VID in Aadhaar?,VID is a temporary Virtual ID to authenticate without sharing your Aadhaar number.,Aadhaar,"VID, virtual ID, Aadhaar",
Can I use Aadhaar as a valid ID for government schemes?,"Yes, Aadhaar is accepted as valid proof of identity and address for many government services.",Aadhaar,"government, ID, Aadhaar",
How do I retrieve lost Aadhaar or EID number?,Use UIDAI 'Retrieve Lost UID/EID' service by providing your name and registered mobile number.,Aadhaar,"retrieve, lost, Aadhaar, EID",
Can I get Aadhaar for differently-abled persons?,"Yes, Aadhaar enrolment accommodates differently-abled persons, with alternative biometric options.",Aadhaar,"differently-abled, Aadhaar, enrolment",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
Is biometric update mandatory in Aadhaar?,Biometric update is required only if your previous biometrics are outdated or incorrect.,Aadhaar,"biometric, update, Aadhaar",
Can I check my Aadhaar authentication history?,"Yes, UIDAI portal allows you to check your Aadhaar authentication history for security purposes.",Aadhaar,"authentication, history, Aadhaar",
Can I temporarily lock my Aadhaar for privacy?,"Yes, you can lock/unlock your Aadhaar number anytime via UIDAI portal.",Aadhaar,"lock, privacy, Aadhaar",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
How can I check if my Aadhaar is generated?,Check UIDAI website under 'Check Aadhaar Status' using EID or Aadhaar number.,Aadhaar,"check, generated, Aadhaar",
Can I update my father's name in Aadhaar?,"Yes, you can update parent/guardian name using valid PoR documents via UIDAI portal or enrolment centre.",Aadhaar,"update, father's name, Aadhaar",
Can I get multiple Aadhaar cards?,"No, multiple Aadhaar cards are not allowed. Each resident gets a unique Aadhaar number.",Aadhaar,"multiple, Aadhaar, unique",
How can I report Aadhaar misuse?,Report Aadhaar misuse to UIDAI through their grievance portal or toll-free number.,Aadhaar,"report, misuse, Aadhaar",
Can I update my biometric details in Aadhaar?,"Yes, you can update fingerprints or iris scan at an enrolment centre if needed.",Aadhaar,"update, biometric, Aadhaar",
How do I update my photograph in Aadhaar after enrolment?,Visit nearest Aadhaar enrolment centre to update your photograph with valid documents.,Aadhaar,"update, photograph, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
What is the process for family Aadhaar enrolment?,"Head of family enrols first, then other members can be enrolled using family entitlement documents.",Aadhaar,"family, enrolment, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Can I update my address minor corrections in Aadhaar?,"Yes, minor corrections such as house number, street, lane can be updated via enrolment centre.",Aadhaar,"update, minor corrections, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Is Aadhaar mandatory for availing government schemes?,"In many schemes, Aadhaar is mandatory as proof of identity and address.",Aadhaar,"mandatory, government schemes, Aadhaar",
Can I correct my address in Aadhaar if pin code is wrong?,"Yes, update your address with correct pin code via UIDAI portal or enrolment centre.",Aadhaar,"correct, address, pin code, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I update my spouse name in Aadhaar?,"Yes, upload valid documents to update spouse name via UIDAI portal or enrolment centre.",Aadhaar,"update, spouse name, Aadhaar",
Can I correct my Aadhaar gender field online?,"Yes, valid supporting documents are needed to update gender through UIDAI portal.",Aadhaar,"correct, gender, Aadhaar",
Can I get my Aadhaar letter reprinted?,"Yes, request a reprint via UIDAI portal and pay applicable charges if any.",Aadhaar,"reprint, Aadhaar, letter",
How do I authenticate my Aadhaar online?,Use UIDAI authentication APIs or eKYC services to authenticate Aadhaar online.,Aadhaar,"authenticate, Aadhaar, online",
Can I update my biometrics for minors in Aadhaar?,"Yes, biometrics can be updated for minors after they reach 5 years and again at 15 years.",Aadhaar,"update, biometrics, minor, Aadhaar",
How do I check if my Aadhaar number is valid?,Use UIDAI verification services to validate Aadhaar number online.,Aadhaar,"check, valid, Aadhaar",
Can I update my Aadhaar mobile number without visiting an enrolment centre?,"Yes, you can update your mobile number online via UIDAI Self Service Update Portal with OTP verification.",Aadhaar,"update, mobile, online, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
How do I change my address in Aadhaar after shifting to a new city?,Update your address online through UIDAI portal using valid address proof or visit nearest enrolment centre.,Aadhaar,"change, address, new city, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I get Aadhaar for a child below 5 years?,"Yes, children can be enrolled with parental/guardian consent and documents.",Aadhaar,"child, enrolment, Aadhaar",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
How do I update my Aadhaar email ID?,Use UIDAI Self Service Update Portal to add or update your email ID with OTP verification.,Aadhaar,"update, email, Aadhaar",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
What should I do if I forget my Aadhaar enrollment ID?,Retrieve your EID using UIDAI 'Retrieve Lost UID/EID' service with name and registered mobile number.,Aadhaar,"forgot, enrollment ID, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Can I link my Aadhaar to bank accounts?,"Yes, linking Aadhaar to bank accounts is required for certain services like subsidies and online KYC.",Aadhaar,"link, bank, Aadhaar, KYC",
How can I check my Aadhaar enrolment centre location?,"Use UIDAI locator tool by entering your state, district, and locality to find nearest enrolment centre.",Aadhaar,"check, enrolment centre, location",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Is it mandatory to provide biometrics for Aadhaar enrolment?,"Yes, biometrics including fingerprints and iris scans are mandatory for Aadhaar enrolment.",Aadhaar,"mandatory, biometrics, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Can I update my Aadhaar name due to spelling mistake?,"Yes, submit valid documents online or at enrolment centre to correct name spelling.",Aadhaar,"update, name, spelling, Aadhaar",
How do I get e-Aadhaar PDF if I lost the print copy?,Download e-Aadhaar from UIDAI portal using your Aadhaar number or VID and OTP.,Aadhaar,"e-Aadhaar, lost, download",
Can I update my address for multiple family members in Aadhaar?,"Yes, head of family can update address for all members using family entitlement documents at enrolment centre.",Aadhaar,"update, address, family, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I correct my Aadhaar date of birth online?,"Yes, upload valid birth proof documents via UIDAI portal or visit enrolment centre to update DOB.",Aadhaar,"correct, date of birth, Aadhaar",
How do I update my parents' name in Aadhaar?,Provide valid PoR documents online or at enrolment centre to update parent/guardian details.,Aadhaar,"update, parents name, Aadhaar",
Can I use Aadhaar for online KYC?,"Yes, e-KYC using Aadhaar allows secure verification online using OTP or biometric authentication.",Aadhaar,"e-KYC, online, Aadhaar",
Is there a helpline for Aadhaar related issues?,"Yes, UIDAI provides toll-free helpline number 1947 for assistance with Aadhaar issues.",Aadhaar,"helpline, support, Aadhaar",
Can I update my photograph in Aadhaar after initial enrolment?,"Yes, visit enrolment centre to update photograph with valid documents.",Aadhaar,"update, photograph, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
Can I check Aadhaar authentication history?,"Yes, UIDAI portal provides authentication history for security checks.",Aadhaar,"authentication, history, Aadhaar",
What should I do if my Aadhaar is rejected?,Re-enroll by correcting errors or submitting proper documents at enrolment centre.,Aadhaar,"rejected, Aadhaar, corrective action",
Can I update my biometrics for Aadhaar after changes?,"Yes, visit enrolment centre to update fingerprints or iris if necessary.",Aadhaar,"update, biometrics, Aadhaar",
Can I download Aadhaar for family members online?,"Yes, each member can download e-Aadhaar PDF using respective Aadhaar number or VID.",Aadhaar,"download, family, e-Aadhaar",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
Is it possible to update multiple fields in Aadhaar together?,"Yes, you can update multiple fields such as address, name, DOB, mobile in a single request via portal or centre.",Aadhaar,"update, multiple fields, Aadhaar",
Can I lock my Aadhaar for authentication temporarily?,"Yes, use UIDAI portal to lock/unlock Aadhaar number for authentication purposes.",Aadhaar,"lock, unlock, Aadhaar",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
What is Virtual ID (VID) in Aadhaar?,"VID is a temporary, revocable 16-digit number mapped to your Aadhaar to enhance privacy.",Aadhaar,"virtual ID, VID, Aadhaar",
Can I link my Aadhaar to LPG subsidy?,"Yes, linking Aadhaar is required for LPG subsidy under PAHAL scheme.",Aadhaar,"link, LPG, subsidy, Aadhaar",
Can I get Aadhaar if I lost all documents?,Provide alternative documents accepted by UIDAI for proof of identity and address during enrolment.,Aadhaar,"lost, documents, Aadhaar, alternative",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
Can I update my Aadhaar details without OTP?,"No, OTP verification is mandatory for online updates.",Aadhaar,"update, OTP, Aadhaar",
Can I update my Aadhaar gender for minors?,"Yes, submit valid supporting documents at enrolment centre or via portal for minors.",Aadhaar,"update, gender, minor, Aadhaar",
What is the procedure to correct name in Aadhaar after marriage?,Submit marriage certificate and other valid ID documents to update name at enrolment centre or online.,Aadhaar,"correct, name, marriage, Aadhaar",
Can I check if my Aadhaar number is active?,Use UIDAI verification services to check if Aadhaar number is active and valid.,Aadhaar,"active, check, Aadhaar",
How can I update my Aadhaar for a legal name change?,Submit legal name change documents via UIDAI portal or enrolment centre.,Aadhaar,"update, legal, name change, Aadhaar",
Can I update my Aadhaar photograph online?,"No, photograph updates require a visit to the enrolment centre with valid ID.",Aadhaar,"update, photograph, online, Aadhaar",
Is Aadhaar mandatory for SIM card registration?,"Yes, Aadhaar is accepted for KYC during mobile SIM registration in India.",Aadhaar,"mandatory, SIM, KYC, Aadhaar",
Can I update my biometric after age 15?,"Yes, UIDAI allows biometric update for residents after 15 years of age.",Aadhaar,"biometric, update, age 15, Aadhaar",
How do I update my Aadhaar mobile number if SIM is lost?,Update mobile number using OTP on new SIM linked to Aadhaar or visit enrolment centre.,Aadhaar,"update, mobile, lost SIM, Aadhaar",
Can I update my Aadhaar address proof after marriage?,"Yes, submit valid address proof reflecting new address at UIDAI portal or enrolment centre.",Aadhaar,"update, address, marriage, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
What is the process to lock Aadhaar permanently?,Aadhaar cannot be permanently locked; only temporary lock/unlock is allowed via UIDAI portal.,Aadhaar,"lock, permanently, Aadhaar",https://myaadhaar.uidai.gov.in/lock-unlock-aadhaar/en
Can I get Aadhaar for a senior citizen without mobile number?,"Yes, senior citizens can enrol for Aadhaar without mobile number; it is optional.",Aadhaar,"senior citizen, Aadhaar, mobile optional",https://myaadhaar.uidai.gov.in/genricDownloadAadhaar/en
How do I update my Aadhaar if my old house number is not recognized?,Provide corrected house number/address proof at enrolment centre or via UIDAI portal.,Aadhaar,"update, house number, address, Aadhaar",
Can I link my Aadhaar to my insurance policy?,"Yes, many insurance policies require Aadhaar for KYC and policy activation.",Aadhaar,"link, insurance, Aadhaar, KYC",
Can I update both mobile and email in Aadhaar together?,"Yes, both can be updated online via UIDAI portal using OTP verification.",Aadhaar,"update, mobile, email, Aadhaar",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
Can I update my Aadhaar address using rental agreement?,"Yes, rental agreement is accepted as valid address proof to update Aadhaar address.",Aadhaar,"update, address, rental agreement, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How do I verify my Aadhaar number online?,Use UIDAI's 'Verify Aadhaar' service by entering Aadhaar number and CAPTCHA code.,Aadhaar,"verify, Aadhaar, online",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
Can I update my Aadhaar for twin children?,"Yes, twin children can be enrolled with separate Aadhaar numbers using valid documents.",Aadhaar,"update, twins, Aadhaar",
How do I change my Aadhaar name due to court order?,Submit court order documents at enrolment centre or via UIDAI portal to update name.,Aadhaar,"change, name, court order, Aadhaar",
Can I update my Aadhaar gender as 'Other' online?,"Yes, submit supporting documents through UIDAI portal or enrolment centre.",Aadhaar,"update, gender, other, Aadhaar",
Is it necessary to provide email for Aadhaar updates?,"No, email is optional but recommended for receiving updates.",Aadhaar,"email, optional, Aadhaar",https://myaadhaar.uidai.gov.in/verify-email-mobile/en
Can I update my biometrics for senior citizens?,"Yes, seniors can update fingerprints or iris at enrolment centre if needed.",Aadhaar,"update, biometrics, senior citizen, Aadhaar",
Can I correct my Aadhaar details if my name has changed after adoption?,"Yes, submit adoption certificate and valid documents to update Aadhaar details.",Aadhaar,"correct, adoption, name change, Aadhaar",
How do I update my Aadhaar address using passport?,Passport can be submitted as valid address proof online or at enrolment centre to update address.,Aadhaar,"update, address, passport, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
Can I update my Aadhaar if my old fingerprint is not readable?,"Yes, biometric update is possible at enrolment centre if fingerprints are not readable.",Aadhaar,"update, fingerprint, Aadhaar",
Can I enroll for Aadhaar if I am homeless?,"Yes, UIDAI provides provisions for enrolling residents without permanent address using supporting documents.",Aadhaar,"homeless, enrolment, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
How do I update my Aadhaar if my house number changes due to municipal corrections?,Visit enrolment centre with corrected address proof or update online via UIDAI portal.,Aadhaar,"update, house number, municipal, Aadhaar",
Can I link my Aadhaar to PF account?,"Yes, linking Aadhaar to Provident Fund account is required for verification and withdrawals.",Aadhaar,"link, PF, Aadhaar",
Can I update my Aadhaar details without proof of address?,"No, proof of address is mandatory to update address field in Aadhaar.",Aadhaar,"update, no proof, address, Aadhaar",https://uidai.gov.in/en/my-aadhaar/update-aadhaar.html
How do I update my Aadhaar mobile number if my SIM is inactive?,Visit enrolment centre with valid documents to update mobile number linked to Aadhaar.,Aadhaar,"update, mobile, inactive SIM, Aadhaar",
Can I update my Aadhaar if my local language spelling is wrong?,"Yes, provide correct spelling in local language via enrolment centre or portal for update.",Aadhaar,"update, local language, spelling, Aadhaar",
Can I update my Aadhaar if my biometric devices failed during enrolment?,"Yes, visit enrolment centre again to re-submit biometrics for Aadhaar update.",Aadhaar,"update, biometric, device failure, Aadhaar",https://bhuvan-app3.nrsc.gov.in/aadhaar/
How can I authenticate my Aadhaar using VID?,Use Virtual ID (VID) in place of Aadhaar number along with OTP for authentication on UIDAI portal.,Aadhaar,"authenticate, VID, Aadhaar",
Can I correct spelling mistakes in my family members' Aadhaar?,"Yes, submit valid PoR documents to update family members' Aadhaar details.",Aadhaar,"correct, spelling, family, Aadhaar",
Is Aadhaar required for online banking KYC?,"Yes, Aadhaar is accepted for online banking KYC to verify identity and address.",Aadhaar,"online banking, KYC, Aadhaar",
Can I update my Aadhaar after gender reassignment surgery?,"Yes, submit medical/legal documents to update gender via UIDAI portal or enrolment centre.",Aadhaar,"update, gender reassignment, Aadhaar",
